id,order_id,product_id,quantity
1,10250,41,20
2,10250,51,35
3,10250,65,25
4,10252,20,40
5,10252,33,25
6,10252,60,40
7,10253,31,20
8,10253,39,42
9,10253,49,40
10,10254,24,25
11,10254,55,22
12,10254,74,22
13,10255,2,20
14,10255,16,35
15,10255,36,25
16,10255,59,30
17,10257,27,25
18,10257,39,6
19,10257,77,25
20,10258,2,50
21,10258,5,65
22,10258,32,6
23,10259,21,20
24,10259,37,2
25,10260,41,26
26,10260,57,50
27,10260,62,25
28,10260,70,22
29,10261,21,20
30,10261,35,20
31,10262,5,22
32,10262,7,25
33,10262,56,2
34,10263,16,60
35,10263,24,29
36,10263,30,60
37,10263,74,36
38,10264,2,35
39,10264,41,25
40,10265,17,30
41,10265,70,20
42,10267,40,50
43,10267,59,70
44,10267,76,25
45,10268,29,20
46,10268,72,4
47,10271,33,24
48,10272,20,6
49,10272,31,40
50,10272,72,24
51,10273,10,24
52,10273,31,25
53,10273,33,20
54,10273,40,60
55,10273,76,33
56,10275,24,22
57,10275,59,6
58,10277,28,20
59,10277,62,22
60,10278,44,26
61,10278,59,25
62,10278,63,9
63,10278,73,25
64,10279,17,25
65,10280,24,22
66,10280,55,20
67,10280,75,30
68,10281,19,2
69,10281,24,6
70,10281,35,4
71,10282,30,6
72,10282,57,2
73,10283,15,20
74,10283,19,29
75,10283,60,35
76,10283,72,3
77,10284,27,25
78,10284,44,22
79,10284,60,20
80,10284,67,5
81,10285,1,45
82,10285,40,40
83,10285,53,36
84,10286,35,200
85,10286,62,40
86,10287,16,40
87,10287,34,20
88,10287,46,25
89,10288,54,20
90,10288,68,3
91,10289,3,30
92,10289,64,9
93,10290,5,20
94,10290,29,25
95,10290,49,25
96,10290,77,20
97,10291,13,20
98,10291,44,24
99,10291,51,2
100,10294,1,29
101,10294,17,25
102,10294,43,25
103,10294,60,22
104,10294,75,6
105,10296,11,22
106,10296,16,30
107,10296,69,25
108,10297,39,60
109,10297,72,20
110,10298,2,40
111,10298,36,40
112,10298,59,30
113,10298,62,25
114,10299,19,25
115,10299,70,20
116,10300,66,30
117,10300,68,20
118,10302,17,40
119,10302,28,29
120,10302,43,22
121,10303,40,40
122,10303,65,30
123,10303,68,25
124,10305,18,25
125,10305,29,25
126,10305,39,30
127,10306,30,20
128,10306,53,20
129,10306,54,5
130,10307,62,20
131,10307,68,3
132,10308,69,2
133,10308,70,5
134,10309,4,20
135,10309,6,30
136,10309,42,2
137,10309,43,20
138,10309,71,3
139,10310,16,20
140,10310,62,5
141,10311,42,6
142,10311,69,7
143,10313,36,22
144,10314,32,40
145,10314,58,30
146,10314,62,25
147,10315,34,24
148,10315,70,30
149,10316,41,20
150,10316,62,70
151,10317,1,20
152,10318,41,20
153,10318,76,6
154,10321,35,20
155,10322,52,20
156,10323,15,5
157,10323,25,4
158,10323,39,4
159,10324,16,22
160,10324,35,70
161,10324,46,30
162,10324,59,40
163,10324,63,90
164,10325,6,6
165,10325,13,22
166,10325,14,9
167,10325,31,4
168,10325,72,40
169,10326,4,24
170,10326,57,26
171,10326,75,50
172,10327,2,25
173,10327,11,50
174,10327,30,35
175,10327,58,30
176,10328,59,9
177,10328,65,40
